URL to be reported,Category of URL,Report reason,Additional details
https://library.tiktok.com/ads/detail/?ad_id=1854775415304194,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Ιωάννου Αργεντούλα (ΑΚΕΛ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-01-19; last shown: 2026-01-20 · Advertiser handle: @argentoulaioannou · Detected via TikTok Research API ad_id=1854775415304194"
https://library.tiktok.com/ads/detail/?ad_id=1854943577800706,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Ιωάννου Αργεντούλα (ΑΚΕΛ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-01-21; last shown: 2026-01-23 · Advertiser handle: @argentoulaioannou · Detected via TikTok Research API ad_id=1854943577800706"
https://library.tiktok.com/ads/detail/?ad_id=1858979606813761,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Ιωάννου Αργεντούλα (ΑΚΕΛ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-07; last shown: 2026-03-09 · Advertiser handle: @argentoulaioannou · Detected via TikTok Research API ad_id=1858979606813761"
https://library.tiktok.com/ads/detail/?ad_id=1862657527615617,Misleading information,Political advertising prohibited by TikTok policy,Party-aligned account: ΑΛΜΑ · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-04-16; last shown: 2026-04-20 · Advertiser handle: @almalimassol · Detected via TikTok Research API ad_id=1862657527615617
https://library.tiktok.com/ads/detail/?ad_id=1864101224901906,Misleading information,Political advertising prohibited by TikTok policy,Party-aligned account: ΑΛΜΑ · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-02; last shown: 2026-05-07 · Advertiser handle: @almalimassol · Detected via TikTok Research API ad_id=1864101224901906
https://library.tiktok.com/ads/detail/?ad_id=1864295594370241,Misleading information,Political advertising prohibited by TikTok policy,Party-aligned account: ΑΛΜΑ · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-04; last shown: 2026-05-06 · Advertiser handle: @almalimassol · Detected via TikTok Research API ad_id=1864295594370241
https://library.tiktok.com/ads/detail/?ad_id=1864901345231874,Misleading information,Political advertising prohibited by TikTok policy,Party-aligned account: ΑΛΜΑ · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-11; last shown: 2026-05-15 · Advertiser handle: @almalimassol · Detected via TikTok Research API ad_id=1864901345231874
https://library.tiktok.com/ads/detail/?ad_id=1865146951676930,Misleading information,Political advertising prohibited by TikTok policy,Party-aligned account: ΑΛΜΑ · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-14; last shown: 2026-05-16 · Advertiser handle: @almalimassol · Detected via TikTok Research API ad_id=1865146951676930
https://library.tiktok.com/ads/detail/?ad_id=1865260734357506,Misleading information,Political advertising prohibited by TikTok policy,Party-aligned account: ΑΛΜΑ · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-15; last shown: 2026-05-16 · Advertiser handle: @almalimassol · Detected via TikTok Research API ad_id=1865260734357506
https://library.tiktok.com/ads/detail/?ad_id=1864013413584897,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Κοκκίνου Παρασκευή (ΑΛΜΑ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-01; last shown: 2026-05-01 · Advertiser handle: @voulakokkinou7 · Detected via TikTok Research API ad_id=1864013413584897"
https://library.tiktok.com/ads/detail/?ad_id=1864013547973697,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Κοκκίνου Παρασκευή (ΑΛΜΑ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-01; last shown: 2026-05-01 · Advertiser handle: @voulakokkinou7 · Detected via TikTok Research API ad_id=1864013547973697"
https://library.tiktok.com/ads/detail/?ad_id=1856006000529426,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Κυπριανού Κύπρος (ΑΛΜΑ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-02; last shown: 2026-02-03 · Advertiser handle: @kyproskyprianou4 · Detected via TikTok Research API ad_id=1856006000529426"
https://library.tiktok.com/ads/detail/?ad_id=1856006000529442,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Κυπριανού Κύπρος (ΑΛΜΑ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-02; last shown: 2026-02-03 · Advertiser handle: @kyproskyprianou4 · Detected via TikTok Research API ad_id=1856006000529442"
https://library.tiktok.com/ads/detail/?ad_id=1857114166594561,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Κυπριανού Κύπρος (ΑΛΜΑ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-14; last shown: 2026-02-15 · Advertiser handle: @kyproskyprianou4 · Detected via TikTok Research API ad_id=1857114166594561"
https://library.tiktok.com/ads/detail/?ad_id=1857399894381697,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Κυπριανού Κύπρος (ΑΛΜΑ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-17; last shown: 2026-02-18 · Advertiser handle: @kyproskyprianou4 · Detected via TikTok Research API ad_id=1857399894381697"
https://library.tiktok.com/ads/detail/?ad_id=1857399894381713,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Κυπριανού Κύπρος (ΑΛΜΑ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-17; last shown: 2026-02-18 · Advertiser handle: @kyproskyprianou4 · Detected via TikTok Research API ad_id=1857399894381713"
https://library.tiktok.com/ads/detail/?ad_id=1857728797752322,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Κυπριανού Κύπρος (ΑΛΜΑ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-21; last shown: 2026-02-22 · Advertiser handle: @kyproskyprianou4 · Detected via TikTok Research API ad_id=1857728797752322"
https://library.tiktok.com/ads/detail/?ad_id=1842879373457426,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Νεοφύτου Μάριος (ΑΛΜΑ, Πάφος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-09-10; last shown: 2025-09-20 · Advertiser handle: @marios.neofytou · Detected via TikTok Research API ad_id=1842879373457426"
https://library.tiktok.com/ads/detail/?ad_id=1846862401566722,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Νεοφύτου Μάριος (ΑΛΜΑ, Πάφος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-10-24; last shown: 2025-10-29 · Advertiser handle: @marios.neofytou · Detected via TikTok Research API ad_id=1846862401566722"
https://library.tiktok.com/ads/detail/?ad_id=1854788714458370,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Αλετράρης Δημήτρης (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-01-19; last shown: 2026-01-20 · Advertiser handle: @demetris.aletraris · Detected via TikTok Research API ad_id=1854788714458370"
https://library.tiktok.com/ads/detail/?ad_id=1854510964962305,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Αναστασίου Αναστάσιος (ΑΜΔΗ, Αμμόχωστος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-01-16; last shown: 2026-01-17 · Advertiser handle: @tasos2026 · Detected via TikTok Research API ad_id=1854510964962305"
https://library.tiktok.com/ads/detail/?ad_id=1859420603767186,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Δουκανάρης Φοίβος (ΑΜΔΗ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-12; last shown: 2026-03-15 · Advertiser handle: @phivos.doukanaris · Detected via TikTok Research API ad_id=1859420603767186"
https://library.tiktok.com/ads/detail/?ad_id=1859700327826434,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Δουκανάρης Φοίβος (ΑΜΔΗ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-15; last shown: 2026-03-17 · Advertiser handle: @phivos.doukanaris · Detected via TikTok Research API ad_id=1859700327826434"
https://library.tiktok.com/ads/detail/?ad_id=1860376321412289,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Δουκανάρης Φοίβος (ΑΜΔΗ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-22; last shown: 2026-03-30 · Advertiser handle: @phivos.doukanaris · Detected via TikTok Research API ad_id=1860376321412289"
https://library.tiktok.com/ads/detail/?ad_id=1864910770875393,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Δουκανάρης Φοίβος (ΑΜΔΗ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-11; last shown: 2026-05-13 · Advertiser handle: @phivos.doukanaris · Detected via TikTok Research API ad_id=1864910770875393"
https://library.tiktok.com/ads/detail/?ad_id=1846498385425409,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Ιωάννου Κλεονίκη (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-10-20; last shown: 2025-10-21 · Advertiser handle: @kleoniki_ioannou · Detected via TikTok Research API ad_id=1846498385425409"
https://library.tiktok.com/ads/detail/?ad_id=1851721361682753,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Ιωάννου Κλεονίκη (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-12-17; last shown: 2025-12-18 · Advertiser handle: @kleoniki_ioannou · Detected via TikTok Research API ad_id=1851721361682753"
https://library.tiktok.com/ads/detail/?ad_id=1851716675333137,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Ιωάννου Κλεονίκη (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-12-17; last shown: 2025-12-18 · Advertiser handle: @kleoniki_ioannou · Detected via TikTok Research API ad_id=1851716675333137"
https://library.tiktok.com/ads/detail/?ad_id=1852886108105858,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Λαούρης Γιάννης (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 20251229; last shown: 20260101 · Advertiser handle: @yiannis.laouris · Detected via TikTok Research API ad_id=1852886108105858"
https://library.tiktok.com/ads/detail/?ad_id=1864684179931137,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Λοΐζου Μαρία (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-09; last shown: 2026-05-10 · Advertiser handle: @maria.loizou85 · Detected via TikTok Research API ad_id=1864684179931137"
https://library.tiktok.com/ads/detail/?ad_id=1865264145828865,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Λοΐζου Μαρία (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-15; last shown: 2026-05-15 · Advertiser handle: @maria.loizou85 · Detected via TikTok Research API ad_id=1865264145828865"
https://library.tiktok.com/ads/detail/?ad_id=1860379016356354,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Πάλιος Νίκος (ΑΜΔΗ, Πάφος) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-22; last shown: 2026-03-23 · Advertiser handle: @paliosn · Detected via TikTok Research API ad_id=1860379016356354"
