observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-05-31 07:49:26,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865611103718401,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-19,2026-05-20,https://library.tiktok.com/ads/detail/?ad_id=1865611103718401
2026-05-31 07:49:26,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865596182607889,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-19,2026-05-20,https://library.tiktok.com/ads/detail/?ad_id=1865596182607889
2026-05-31 07:49:26,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,latin,1865652062406658,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,2,2026-05-19,2026-05-20,https://library.tiktok.com/ads/detail/?ad_id=1865652062406658
2026-05-31 07:49:26,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,latin,1865621044318402,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-19,2026-05-20,https://library.tiktok.com/ads/detail/?ad_id=1865621044318402
2026-05-31 07:49:26,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865595919557634,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,2,2026-05-19,2026-05-20,https://library.tiktok.com/ads/detail/?ad_id=1865595919557634
2026-05-31 07:49:26,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865595999672321,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-19,2026-05-20,https://library.tiktok.com/ads/detail/?ad_id=1865595999672321
2026-05-31 07:49:26,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865596275087634,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-19,2026-05-20,https://library.tiktok.com/ads/detail/?ad_id=1865596275087634
2026-05-31 07:49:26,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865594605893649,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-19,2026-05-20,https://library.tiktok.com/ads/detail/?ad_id=1865594605893649
2026-05-31 07:49:26,andreas_papacharalambous,Παπαχαραλάμπους Ανδρέας,ΕΛΑΜ,Λευκωσία,manual_resume,1864325912814610,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-05,2026-05-06,https://library.tiktok.com/ads/detail/?ad_id=1864325912814610
2026-05-31 07:49:26,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,latin,1865621156597890,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-19,2026-05-19,https://library.tiktok.com/ads/detail/?ad_id=1865621156597890
2026-05-31 07:49:26,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,latin,1865546720541697,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-19,2026-05-19,https://library.tiktok.com/ads/detail/?ad_id=1865546720541697
2026-05-31 07:49:26,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,latin,1865317552875010,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-16,2026-05-17,https://library.tiktok.com/ads/detail/?ad_id=1865317552875010
2026-05-31 07:49:26,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,latin,1865424579652610,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-17,2026-05-18,https://library.tiktok.com/ads/detail/?ad_id=1865424579652610
2026-05-31 07:49:26,steliosmohicanstylianou,Στυλιανού Στέλιος,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Πάφος,manual_resume,1861916254490114,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,200000,750,2026-04-08,2026-04-19,https://library.tiktok.com/ads/detail/?ad_id=1861916254490114
