== Window ==
cutoff_utc,2026-05-24T19:03:44
generated_utc,2026-05-25T19:03:44
total_changes,83

== Transitions ==
prev_status,new_status,count,label
active,inactive,83,stopped running

== TikTok removals - by candidate ==
candidate,party,removed_count
Σταύρου Μάριος,ΑΜΔΗ,7
Χατζησταύρου Δήμητρα,ΑΜΔΗ,6
Λοΐζου Μαρία,ΑΜΔΗ,5
Πάλιος Νίκος,ΑΜΔΗ,5
Παπαχαραλάμπους Ανδρέας,ΕΛΑΜ,4
Αθανασίου Μαριάννα,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,4
Παπαβασιλείου Σταμάτης,ΟΙΚΟΛΟΓΟΙ,4
Χαραλάμπους Παναγιώτης,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,3
Χριστοδούλου Αδριάνα,ΕΛΑΜ,3
Πατριωτικό Μέτωπο Λακεδαιμόνιοι — youth wing,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,3
Αποστόλου Ανδρέας,ΔΗΚΟ,3
Παυλίδου Βερόνικα,ΔΕΚ,3
Δουκανάρης Φοίβος,ΑΜΔΗ,2
Λυσανδρίδης Γεώργιος,ΔΗΣΥ,2
Θεόφιλος — ΕΛΑΜ supporter (torch-march creative),ΕΛΑΜ,2
Χρυσάνθου Λοΐζος,ΑΜΔΗ,2
Τσίτσης Γιάννης,ΑΜΔΗ,2
Κωνσταντίνου Λάκης,ΕΔΕΚ,2
Πετρίδου Στέλλα,ΟΙΚΟΛΟΓΟΙ,1
Παστέλλα Μαρία,ΕΛΑΜ,1
Στυλιανού Στέλιος,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,1
Μάρκου Πάρις,ΔΗΣΥ,1
Χρίστου Έλεν,ΣΗΚΟΥ ΠΑΝΩ,1
Μανουσάκη Κυριακή,ΕΔΕΚ,1
Νεοφύτου Μάριος,ΑΛΜΑ,1
Κυπριανού Άννα,ΔΗΠΑ,1
Τσιρίδου Φωτεινή,ΔΗΣΥ,1
Φλουρέντζου Μάριος,ΕΛΑΜ,1
Χαπεσιάν Άρι,ΔΗΠΑ,1

== TikTok removals - by party ==
party,removed_count
ΑΜΔΗ,29
ΕΛΑΜ,11
ΛΑΚΕΔΑΙΜΟΝΙΟΙ,7
Νέα Δυναμική,6
ΟΙΚΟΛΟΓΟΙ,5
ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,4
ΔΗΣΥ,4
ΔΗΚΟ,3
ΣΗΚΟΥ ΠΑΝΩ,3
ΕΔΕΚ,3
ΔΕΚ,3
ΔΗΠΑ,2
ΑΛΜΑ,1
